"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3363","User login with correct email or password","LMS system","Thu Apr 16 10:52:08 UTC 2026","passed","Thu Apr 16 10:52:12 UTC 2026","Authorization","Authentication","",""
"","1318","Check displaying of empty courses list","LMS system","Thu Apr 16 10:52:17 UTC 2026","passed","Thu Apr 16 10:52:18 UTC 2026","Courses","Courses","",""
"","1715","Registration with correct email, username and password","LMS system","Thu Apr 16 10:52:14 UTC 2026","passed","Thu Apr 16 10:52:16 UTC 2026","Registration","Authentication","",""
"","1542","User login with wrong email or password","LMS system","Thu Apr 16 10:52:12 UTC 2026","passed","Thu Apr 16 10:52:14 UTC 2026","Authorization","Authentication","",""
"","2713","Create course","LMS system","Thu Apr 16 10:52:18 UTC 2026","passed","Thu Apr 16 10:52:21 UTC 2026","Courses","Courses","",""
"","3155","test_edit_course[chromium]","LMS system","Thu Apr 16 10:52:18 UTC 2026","passed","Thu Apr 16 10:52:22 UTC 2026","Courses","Courses","",""
"","1266","Navigation from login page to registration page","LMS system","Thu Apr 16 10:52:13 UTC 2026","passed","Thu Apr 16 10:52:14 UTC 2026","Authorization","Authentication","",""
"","1868","User login with wrong email or password","LMS system","Thu Apr 16 10:52:08 UTC 2026","passed","Thu Apr 16 10:52:10 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Thu Apr 16 10:52:23 UTC 2026","passed","Thu Apr 16 10:52:23 UTC 2026","TestUserAuthentication","test_markers","",""
"","1","test_password_reset","tests.pytest","Thu Apr 16 10:52:22 UTC 2026","passed","Thu Apr 16 10:52:22 UTC 2026","TestUserAuthentication","test_markers","",""
"","1","test_regression_case","tests.pytest","Thu Apr 16 10:52:22 UTC 2026","passed","Thu Apr 16 10:52:22 UTC 2026","","test_markers","",""
"","0","test_logout","tests.pytest","Thu Apr 16 10:52:22 UTC 2026","passed","Thu Apr 16 10:52:22 UTC 2026","TestUserAuthentication","test_markers","",""
"","1807","User login with wrong email or password","LMS system","Thu Apr 16 10:52:11 UTC 2026","passed","Thu Apr 16 10:52:13 UTC 2026","Authorization","Authentication","",""
"","1895","Check displaying of dashboard page","LMS system","Thu Apr 16 10:52:21 UTC 2026","passed","Thu Apr 16 10:52:23 UTC 2026","Dashboard","Dashboard","",""
"","0","test_critical_login","tests.pytest","Thu Apr 16 10:52:22 UTC 2026","passed","Thu Apr 16 10:52:22 UTC 2026","","test_markers","",""
